Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.2125120003826801,0.012512000382680188,0.00015655015357618918,0.012512000382680188,0.7717787155305369,1.6460531194521726,True,1086.0,1.0,0,43.20681285858154
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.8260594367669828,0.026059436766982746,0.0006790942446123722,0.026059436766982746,0.35653774324453297,1.312696064451546,True,1223.0,1.0,0,43.20681285858154
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9451863978261169,,,,0.9364949092506548,0.9494845921730103,,2267.0,1.0,0,43.20681285858154
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.3142858164931139,-0.18571418350688612,0.03448975795562937,0.18571418350688612,0.11654498830235067,0.5047683190012758,True,2871.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_omega,1.0,1.247398517151707,0.24739851715170702,0.06120602628886347,0.24739851715170702,0.6805704828121676,1.6189545593727543,True,956.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_direct,1.2,1.207628236488012,0.00762823648801203,5.818999191703811e-05,0.00762823648801203,0.7447280272387566,1.6205534769378724,True,1007.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,sigma_collateral,0.8,0.8233074952078367,0.023307495207836704,0.0005432393328633309,0.023307495207836704,0.3500534330557472,1.27900757885798,True,1036.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta5,Z,,0.9451609913081992,,,,0.9365024202690692,0.9493978896812202,,2660.0,1.0,0,41.98185634613037
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,mu_omega,0.5,0.31361584578300983,-0.18638415421699017,0.034739052943182774,0.18638415421699017,0.12705008682126612,0.5133305596266787,True,3015.0,1.0,0,39.49496245384216
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_omega,1.0,1.2472031970533293,0.24720319705332927,0.06110942063338714,0.24720319705332927,0.7346575867657702,1.6218126798646288,True,1070.0,1.0,0,39.49496245384216
